,feature,importance
21,sp500_Close_RDP1,0.061840745832576906
22,sp500_Adj Close_RDP1,0.056015481357086595
20,sp500_Low_RDP1,0.04352026404681572
19,sp500_High_RDP1,0.036819364955280494
29,sp500_Volume_RDP7,0.035491065762123186
17,hsi_Volume_RDP30,0.03133192373934648
2,hsi_Low_RDP1,0.03016673809102872
35,sp500_Volume_RDP30,0.030154724119012166
0,hsi_Open_RDP1,0.029316788211344962
18,sp500_Open_RDP1,0.02929148696491465
1,hsi_High_RDP1,0.028890572361427377
23,sp500_Volume_RDP1,0.02853444361827005
11,hsi_Volume_RDP7,0.028394725233675065
5,hsi_Volume_RDP1,0.027823419618475773
4,hsi_Adj Close_RDP1,0.025698454363016363
25,sp500_High_RDP7,0.02568447647679909
12,hsi_Open_RDP30,0.02566787642701935
3,hsi_Close_RDP1,0.024950881951171608
30,sp500_Open_RDP30,0.024825103767347603
24,sp500_Open_RDP7,0.02397829347676618
6,hsi_Open_RDP7,0.02379669922300722
9,hsi_Close_RDP7,0.023541715929585906
13,hsi_High_RDP30,0.02349809380037096
14,hsi_Low_RDP30,0.023208615262878686
32,sp500_Low_RDP30,0.022868082782095334
7,hsi_High_RDP7,0.02259986197401316
8,hsi_Low_RDP7,0.022245130487610298
10,hsi_Adj Close_RDP7,0.022215527767286986
28,sp500_Adj Close_RDP7,0.02217525927004473
26,sp500_Low_RDP7,0.022139954606855198
31,sp500_High_RDP30,0.022093282605105048
27,sp500_Close_RDP7,0.02198576860102243
34,sp500_Adj Close_RDP30,0.02022079433050315
16,hsi_Adj Close_RDP30,0.01978657356185316
15,hsi_Close_RDP30,0.01963911540088148
33,sp500_Close_RDP30,0.019588694023387955
