feature,precision_1,recall_1,accuracy_1,f1_score_1,precision_2,recall_2,accuracy_2,f1_score_2,precision_3,recall_3,accuracy_3,f1_score_3,precision_avg,recall_avg,accuracy_avg,f1_score_avg
sp500_Close_RDP1,0.5534591,0.7068273,0.5708583,0.620811299,0.5760518,0.7148594,0.5968064,0.637992822,0.56373936,0.7991968,0.5928144,0.661129554,0.564416753,0.7402945,0.586826367,0.639977892
sp500_Adj Close_RDP1,0.5719063,0.686747,0.58882236,0.624087557,,,,,,,,,,,,
sp500_Low_RDP1,0.5719063,0.686747,0.58882236,0.624087557,,,,,,,,,,,,
sp500_High_RDP1,0.5675676,0.67469877,0.5828343,0.616513733,,,,,,,,,,,,
sp500_Volume_RDP7,0.57931036,0.67469877,0.59481037,0.62337662,,,,,,,,,,,,
hsi_Volume_RDP30,0.5687023,0.59839356,0.5748503,0.583170213,,,,,,,,,,,,
sp500_Volume_RDP30,0.5953177,0.7148594,0.61676645,0.649635059,,,,,,,,,,,,
hsi_High_RDP1,0.5769231,0.6626506,0.59081835,0.61682239,,,,,,,,,,,,
sp500_Open_RDP1,0.52797204,0.6064257,0.5349301,0.56448599,,,,,,,,,,,,
sp500_Volume_RDP1,0.5277778,0.53413653,0.53093815,0.530938124,,,,,,,,,,,,
hsi_Open_RDP1,0.56183743,0.6385542,0.5728543,0.597744348,,,,,,,,,,,,
hsi_Volume_RDP7,0.5245283,0.5582329,0.5289421,0.540856,,,,,,,,,,,,
hsi_Low_RDP1,0.5488722,0.5863454,0.5548902,0.566990284,,,,,,,,,,,,
hsi_Adj Close_RDP1,0.53405017,0.59839356,0.5409182,0.564393955,,,,,,,,,,,,
hsi_Close_RDP1,0.5217391,0.57831323,0.5269461,0.548571416,,,,,,,,,,,,
sp500_High_RDP7,0.54316545,0.6064257,0.5508982,0.573054986,,,,,,,,,,,,
hsi_Volume_RDP1,0.5591398,0.62650603,0.56886226,0.590909096,,,,,,,,,,,,
sp500_Open_RDP7,0.5277778,0.53413653,0.53093815,0.530938124,,,,,,,,,,,,
hsi_Open_RDP30,0.56809336,0.5863454,0.5728543,0.577075082,,,,,,,,,,,,
sp500_Open_RDP30,0.56201553,0.58232933,0.5668663,0.571992163,,,,,,,,,,,,
hsi_Open_RDP7,0.54577464,0.62249,0.5548902,0.581613516,,,,,,,,,,,,
sp500_Close_RDP7,0.5736434,0.5943775,0.57884234,0.583826391,,,,,,,,,,,,
hsi_Adj Close_RDP7,0.54379565,0.59839356,0.5508982,0.569789652,,,,,,,,,,,,
sp500_High_RDP30,0.5323741,0.5943775,0.53892213,0.561669794,,,,,,,,,,,,
sp500_Low_RDP7,0.5346939,0.5261044,0.53692615,0.530364368,,,,,,,,,,,,
hsi_Close_RDP7,0.52398527,0.57028115,0.5289421,0.546153871,,,,,,,,,,,,
sp500_Adj Close_RDP7,,,,,,,,,,,,,,,,
hsi_Low_RDP30,,,,,,,,,,,,,,,,
hsi_Low_RDP7,,,,,,,,,,,,,,,,
hsi_High_RDP7,,,,,,,,,,,,,,,,
sp500_Close_RDP30,,,,,,,,,,,,,,,,
sp500_Low_RDP30,,,,,,,,,,,,,,,,
sp500_Adj Close_RDP30,,,,,,,,,,,,,,,,
hsi_High_RDP30,,,,,,,,,,,,,,,,
hsi_Adj Close_RDP30,,,,,,,,,,,,,,,,
hsi_Close_RDP30,,,,,,,,,,,,,,,,
